Year,Make,Model,Purchase_Price,MPG_City,MPG_Highway,Annual_Maintenance_Cost,Annual_Repair_Cost,Depreciation_Rate,Seating
2018,Honda,Civic,19500,30,37,400,300,0.15,5
2018,Toyota,Corolla,18600,28,36,400,300,0.15,5
2018,Hyundai,Elantra,18200,26,36,350,300,0.12,5
2018,Mazda,3,21000,26,35,400,350,0.15,5
2018,Nissan,Sentra,17800,26,33,350,300,0.15,5
2018,Kia,Forte,17600,25,34,350,300,0.12,5
2018,Chevrolet,Spark,13000,30,38,300,250,0.18,5
2018,Subaru,Impreza,20000,26,36,400,350,0.14,5
2018,Volkswagon,Jetta,20000,30,40,400,300,0.15,5
2018,Ford,Fiesta,15000,27,35,350,300,0.17,5
2018,Honda,Accord,25000,30,38,450,350,0.15,5
2018,Toyota,Camry,24000,28,39,400,300,0.15,5
2018,Toyota,Prius,24000,54,50,400,300,0.15,5
2018,Honda,Clarity,33400,47,134,450,350,0.15,5
2018,Nissan,Leaf,29000,124,112,400,300,0.2,5
2018,Chevrolet,Bolt EV,37500,128,110,400,300,0.2,5
2022,Honda,Pilot,38000,20,27,500,400,0.15,8
2022,Toyota,Highlander,40000,21,29,500,400,0.15,8
2022,Hyundai,Santa Fe,34000,22,28,450,350,0.15,5
2022,Ford,Explorer,36000,20,27,500,400,0.15,7
2022,Chevrolet,Traverse,34000,18,27,500,400,0.15,8
2022,Nissan,Pathfinder,37000,20,27,500,400,0.15,7
2023,Kia,Telluride,42000,20,26,500,400,0.15,8
2023,Subaru,Ascent,36000,21,27,500,400,0.15,8
2023,Volkswagon,Tiguan,32000,23,29,400,350,0.15,5
2023,Mazda,CX-5,30000,24,30,400,350,0.15,5
2024,Hyundai,Santa Fe,36000,22,28,450,350,0.15,7
2022,Honda,CR-V Hybrid,33000,40,35,400,300,0.15,5
2022,Volkswagon,Atlas,36500,21,24,500,400,0.15,7
2022,Hyundai,Palisade,38000,19,26,500,400,0.15,8
2022,Tesla,Model 3,40000,138,126,400,300,0.2,5
2022,Tesla,Model Y,54000,130,117,450,350,0.2,5
2022,Tesla,Model S,95000,120,112,500,400,0.2,5
2022,Tesla,Model X,100000,100,90,500,400,0.2,7
2022,Ford,Expedition,53000,17,23,600,450,0.15,8
2022,Chevrolet,Tahoe,62000,15,20,600,450,0.15,8
2022,Toyota,Sequoia,60000,13,17,600,450,0.15,8
2022,Honda,Odyssey,35000,19,28,500,350,0.15,7
2022,Chrysler,Pacifica,40000,19,28,500,350,0.15,7
2022,Kia,Carnival,34000,19,26,500,350,0.15,8
2022,Nissan,Armada,55000,14,19,600,400,0.15,8
2022,Volkswagon,Atlas Cross Sport,35000,21,24,500,350,0.15,5
2022,Subaru,Ascent,35000,21,27,500,400,0.15,8
2022,Mercedes-Benz,GLE,65000,19,26,600,450,0.15,5
2022,Toyota,Sienna,35000,19,26,500,350,0.15,7
2022,Kia,Sorento,34000,24,29,450,350,0.15,7
2022,Dodge,Durango,42000,19,26,500,400,0.15,7
2022,Chevrolet,Suburban,67000,15,20,600,450,0.15,8
2022,GMC,Yukon,66000,16,20,600,450,0.15,8
2022,Volkswagon,ID.4,38000,104,89,400,300,0.2,5
2022,Ford,Flex,32000,18,25,450,350,0.15,7
2022,Nissan,NV3500,50000,15,20,600,400,0.15,12
2022,Ram,ProMaster City,35000,21,28,400,300,0.15,5
2022,Mercedes-Benz,Metris,36000,19,24,500,350,0.15,7
