Year,Make,Model,Min_Retail_Price,Max_Retail_Price,3-Yr_Resale_Value,5-Yr_Resale_Value,7-Yr_Resale_Value,Annual_Insurance_Cost,5-Yr_Maintenance_Cost,10-Yr_Maintenance_Cost,MPG,Seating
2017,Mazda,Mazda3 Hatchback,9425,12825,68.60%,62.10%,54.40%,2002,1831,5687,33,5
2017,Mazda,Mazda3 Sedan,9425,12825,65.80%,59.20%,50.60%,1993,1909,5963,33,5
2017,Honda,Civic,12050,23350,79.30%,69.20%,63.80%,2362,1790,5640,34,5
2017,Toyota,Corolla,11025,13425,77.00%,67.10%,63.30%,2595,1436,4446,36,5
2017,Honda,Civic Hatchback,12050,23350,68.60%,62.10%,54.40%,2041,1735,5412,34,5
2017,Nissan,Sentra,6500,9225,71.20%,64.50%,41.80%,2340,1844,5862,32,5
2017,Mitsubishi,Mirage,4300,5475,65.80%,62.80%,56.70%,2418,1661,5319,40,5
2017,Mitsubishi,Mirage G4,4300,5475,62.30%,59.60%,51.40%,2527,1757,5630,40,5
2017,Nissan,Versa,5725,6875,64.80%,55.50%,39.30%,2515,1810,5794,33,5
2017,Toyota,Prius,13450,17025,70.60%,62.40%,59.60%,2412,1448,4379,52,5
2017,Mazda,CX-5,11525,14400,65.10%,58.20%,51.70%,1912,2517,7935,26,5
2017,Toyota,RAV4,14700,18500,80.20%,69.40%,55.60%,1956,1939,6006,25,5
2017,Honda,CR-V,14300,17525,74.50%,67.00%,58.90%,1916,2440,7665,29,5
2017,Honda,Accord,13150,17550,69.00%,62.90%,55.00%,2206,1888,5835,30,5
