Label,Year_1,Year_2,Year_3,Year_4,Year_5,Year_6,Year_7,Year_8,Year_9,Year_10
2024 Hyundai Santa Fe,1118.31,1405.6,1766.69,2220.55,2791.0,3508.0,4409.19,5541.89,6965.57,8755.0
2022 Honda Pilot,1041.76,1305.09,1634.98,2048.26,2566.0,3214.61,4027.17,5045.13,6320.39,7918.0
2023 Honda Pilot,1041.76,1305.09,1634.98,2048.26,2566.0,3214.61,4027.17,5045.13,6320.39,7918.0
2024 Honda Pilot,1041.76,1305.09,1634.98,2048.26,2566.0,3214.61,4027.17,5045.13,6320.39,7918.0
2022 Toyota Highlander,859.48,1072.25,1337.7,1668.86,2082.0,2597.42,3240.44,4042.64,5043.44,6292.0
2023 Toyota Highlander,859.48,1072.25,1337.7,1668.86,2082.0,2597.42,3240.44,4042.64,5043.44,6292.0
2024 Toyota Highlander,859.48,1072.25,1337.7,1668.86,2082.0,2597.42,3240.44,4042.64,5043.44,6292.0
2022 Kia Sorento,1102.76,1386.29,1742.7,2190.75,2754.0,3462.06,4352.16,5471.1,6877.73,8646.0
2023 Kia Sorento,1102.76,1386.29,1742.7,2190.75,2754.0,3462.06,4352.16,5471.1,6877.73,8646.0
2024 Kia Sorento,1102.76,1386.29,1742.7,2190.75,2754.0,3462.06,4352.16,5471.1,6877.73,8646.0
2022 Kia Telluride,1134.33,1423.72,1786.94,2242.82,2815.0,3533.16,4434.53,5565.85,6985.8,8768.0
2023 Kia Telluride,1134.33,1423.72,1786.94,2242.82,2815.0,3533.16,4434.53,5565.85,6985.8,8768.0
2024 Kia Telluride,1134.33,1423.72,1786.94,2242.82,2815.0,3533.16,4434.53,5565.85,6985.8,8768.0
2022 Hyundai Palisade,1145.22,1437.51,1804.4,2264.93,2843.0,3568.6,4479.4,5622.66,7057.7,8859.0
2023 Hyundai Palisade,1145.22,1437.51,1804.4,2264.93,2843.0,3568.6,4479.4,5622.66,7057.7,8859.0
2024 Hyundai Palisade,1145.22,1437.51,1804.4,2264.93,2843.0,3568.6,4479.4,5622.66,7057.7,8859.0
